Entity1,Relationship,Entity2,Property
美洲牛蛙,HAS_ALIAS,美国牛蛙,null
美洲牛蛙,HAS_ALIAS,Rana catesbeianus,type=学名
美洲牛蛙,HAS_IAS,Lithobates catesbeianus,type=学名
美洲牛蛙,BELONGS_TO,蛙科,rank=科
美洲牛蛙,BELONGS_TO,蛙属,rank=属
美洲牛蛙,NATIVE_TO,北美洲,null
美洲牛蛙,NATIVE_TO,加拿大,null
美洲牛蛙,NATIVE_TO,美国,null
美洲牛蛙,NATIVE_TO,墨西哥,null
美洲牛蛙,INVADES,日本,time=1918年
美洲牛蛙,INVADES,中国大陆,time=1959年
美洲牛蛙,INVADES,中国台湾,time=1924年
美洲牛蛙,INVADES,欧洲,null
美洲牛蛙,INVADES,南美洲,null
美洲牛蛙,INVADES,亚洲,null
美洲牛蛙,INVADES,云南滇池,null
美洲牛蛙,INVADES,四川泸沽湖,null
美洲牛蛙,CAUSES,捕食本土物种,type=生态危害
美洲牛蛙,CAUSES,传播蛙壶菌,type=健康危害
美洲牛蛙,CAUSES,改变水体藻类群落,type=生态危害
美洲牛蛙,CAUSES,宿主大肠杆菌,type=健康危害
美洲牛蛙,CAUSES,传播寄生虫囊虫,type=健康危害
美洲牛蛙,CAUSES,诱发霍乱,type=健康危害
美洲牛蛙,SUPPRESSED_BY,加强饲养管理,method=管控防治
美洲牛蛙,SUPPRESSED_BY,改为圈养,method=管控防治
美洲牛蛙,SUPPRESSED_BY,清塘处理蝌蚪,method=种群控制
美洲牛蛙,SUPPRESSED_BY,捕捉消耗成体,method=种群控制